,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
3015,31,14,Óbuda,36,1023,Budapest,Lajos utca,30,,POINT (47.5272 19.0383),Lajos utca 30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.5272,19.0383,14,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463', 'ref:vatin:hu': '10196445-4-44', 'atm': 'yes', 'air_conditioning': 'yes', 'amenity': 'bank', 'operator:addr': '1138 Budapest, Váci út 193.', 'bic': 'BUDAHUHB', 'ref:vatin': 'HU10196445', 'ref:HU:company': '01 10 041037', 'operator': 'Budapest Bank Zrt.', 'brand:wikipedia': 'en:Budapest Bank'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,,,,,2021-11-21 17:53:40.140152,
3016,91,14,Mammut,37,1024,Budapest,Lövőház utca,2-6,,POINT (47.5086 19.0272),Lövőház utca 2-6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.5086,19.0272,14,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463', 'ref:vatin:hu': '10196445-4-44', 'atm': 'yes', 'air_conditioning': 'yes', 'amenity': 'bank', 'operator:addr': '1138 Budapest, Váci út 193.', 'bic': 'BUDAHUHB', 'ref:vatin': 'HU10196445', 'ref:HU:company': '01 10 041037', 'operator': 'Budapest Bank Zrt.', 'brand:wikipedia': 'en:Budapest Bank'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,,,,,2021-11-21 17:53:40.140152,
3017,21,14,Budagyöngye,39,1026,Budapest,Pázsit utca,2,,POINT (47.5161 19.0002),Pázsit utca 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.5161,19.0002,14,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463', 'ref:vatin:hu': '10196445-4-44', 'atm': 'yes', 'air_conditioning': 'yes', 'amenity': 'bank', 'operator:addr': '1138 Budapest, Váci út 193.', 'bic': 'BUDAHUHB', 'ref:vatin': 'HU10196445', 'ref:HU:company': '01 10 041037', 'operator': 'Budapest Bank Zrt.', 'brand:wikipedia': 'en:Budapest Bank'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,,,,,2021-11-21 17:53:40.140152,
3018,32,14,Békásmegyer,51,1039,Budapest,Heltai Jenő tér,15,,POINT (47.5973 19.056),Heltai Jenő tér 15.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.5973,19.056,14,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463', 'ref:vatin:hu': '10196445-4-44', 'atm': 'yes', 'air_conditioning': 'yes', 'amenity': 'bank', 'operator:addr': '1138 Budapest, Váci út 193.', 'bic': 'BUDAHUHB', 'ref:vatin': 'HU10196445', 'ref:HU:company': '01 10 041037', 'operator': 'Budapest Bank Zrt.', 'brand:wikipedia': 'en:Budapest Bank'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,,,,,2021-11-21 17:53:40.140152,
3019,8,14,Újpest,53,1042,Budapest,Árpád út,57-59,,POINT (47.5606 19.088),Árpád út 57-59. Fszt. 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.5606,19.088,14,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463', 'ref:vatin:hu': '10196445-4-44', 'atm': 'yes', 'air_conditioning': 'yes', 'amenity': 'bank', 'operator:addr': '1138 Budapest, Váci út 193.', 'bic': 'BUDAHUHB', 'ref:vatin': 'HU10196445', 'ref:HU:company': '01 10 041037', 'operator': 'Budapest Bank Zrt.', 'brand:wikipedia': 'en:Budapest Bank'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,,,,,2021-11-21 17:53:40.140152,
3020,11,14,Lipótváros,63,1054,Budapest,Kossuth Lajos tér,10,,POINT (47.5058 19.048),Kossuth Lajos tér 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.5058,19.048,14,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463', 'ref:vatin:hu': '10196445-4-44', 'atm': 'yes', 'air_conditioning': 'yes', 'amenity': 'bank', 'operator:addr': '1138 Budapest, Váci út 193.', 'bic': 'BUDAHUHB', 'ref:vatin': 'HU10196445', 'ref:HU:company': '01 10 041037', 'operator': 'Budapest Bank Zrt.', 'brand:wikipedia': 'en:Budapest Bank'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,,,,,2021-11-21 17:53:40.140152,
3021,1,14,Belváros,70,1065,Budapest,Bajcsy-Zsilinszky út,5,,POINT (47.4986 19.0551),Bajcsy-Zsilinszky út 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.4986,19.0551,14,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463', 'ref:vatin:hu': '10196445-4-44', 'atm': 'yes', 'air_conditioning': 'yes', 'amenity': 'bank', 'operator:addr': '1138 Budapest, Váci út 193.', 'bic': 'BUDAHUHB', 'ref:vatin': 'HU10196445', 'ref:HU:company': '01 10 041037', 'operator': 'Budapest Bank Zrt.', 'brand:wikipedia': 'en:Budapest Bank'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,,,,,2021-11-21 17:53:40.140152,
3022,53,14,EMKE,75,1072,Budapest,Rákóczi út,42,,POINT (47.4969 19.0691),Rákóczi út 42.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.4969,19.0691,14,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463', 'ref:vatin:hu': '10196445-4-44', 'atm': 'yes', 'air_conditioning': 'yes', 'amenity': 'bank', 'operator:addr': '1138 Budapest, Váci út 193.', 'bic': 'BUDAHUHB', 'ref:vatin': 'HU10196445', 'ref:HU:company': '01 10 041037', 'operator': 'Budapest Bank Zrt.', 'brand:wikipedia': 'en:Budapest Bank'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,,,,,2021-11-21 17:53:40.140152,
3023,71,14,József krt,86,1085,Budapest,József körút,36,,POINT (47.4921 19.0712),József körút 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.4921,19.0712,14,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463', 'ref:vatin:hu': '10196445-4-44', 'atm': 'yes', 'air_conditioning': 'yes', 'amenity': 'bank', 'operator:addr': '1138 Budapest, Váci út 193.', 'bic': 'BUDAHUHB', 'ref:vatin': 'HU10196445', 'ref:HU:company': '01 10 041037', 'operator': 'Budapest Bank Zrt.', 'brand:wikipedia': 'en:Budapest Bank'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,,,,,2021-11-21 17:53:40.140152,
3024,10,14,Kőbánya,100,1102,Budapest,Kőrösi Cs. sétány,4,,POINT (47.484 19.1297),Kőrösi Cs. sétány 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,2021-11-20 07:45:42.559420+00:00,,,47.484,19.1297,14,Budapest Bank,bank,"{'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463', 'ref:vatin:hu': '10196445-4-44', 'atm': 'yes', 'air_conditioning': 'yes', 'amenity': 'bank', 'operator:addr': '1138 Budapest, Váci út 193.', 'bic': 'BUDAHUHB', 'ref:vatin': 'HU10196445', 'ref:HU:company': '01 10 041037', 'operator': 'Budapest Bank Zrt.', 'brand:wikipedia': 'en:Budapest Bank'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0,,,,,2021-11-21 17:53:40.140152,
