,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_ref,poi_phone,poi_email,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_hash,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code
1716,1858,13,,2401,6100,Kiskunfélegyháza,,,0465/28,POINT (46.67554 19.82037),"M5 114 km Halesz, 0465/28 hrsz",,,,,True,,,,,,,,,,,,,,,,2018-06-14 18:06:06.062009+00:00,,,46.67554,19.82037,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1717,1859,13,,967,2700,Cegléd,Külső Jászberényi út,,0825/263,POINT (47.19392 19.81123),Külső Jászberényi út HRSZ 0825/263,,,,,,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,,2018-06-14 18:06:06.062009+00:00,,,47.19392,19.81123,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1718,1860,13,,2515,6640,Csongrád,Fő utca,65,,POINT (46.71348 20.13382),Fő utca 65.,,,302256539.0,,True,,,,,,,,,,,,,,,,2018-06-14 18:06:06.062009+00:00,,,46.71348,20.13382,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1719,1861,13,,1463,3711,Szirmabesenyő,,,,POINT (48.1391 20.77871),külterület 0119/19,,,,,,,,,,,,,,,,,,,,,2018-06-14 18:06:06.062009+00:00,,,48.1391,20.77871,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1720,1862,13,,2512,6630,Mindszent,Napkelet utca,3/b,,POINT (46.52598 20.19284),Napkelet utca 3/b,,,302256551.0,,True,,,,,,,,,,,,,,,,2018-06-14 18:06:06.062009+00:00,,,46.52598,20.19284,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1721,1863,13,,1190,3214,Nagyréde,,,237/3,POINT (47.74106 19.87001),Külterület 237/3 hrsz,,,,,,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,,2018-06-14 18:06:06.062009+00:00,,,47.74106,19.87001,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1722,1864,13,,113,1118,Budapest,Budaőrsi út,112,,POINT (47.4653 19.01381),Budaőrsi út 112,,,36.0,,True,,,,,,,,,,,,,,,,2018-06-14 18:06:06.062009+00:00,,,47.4653,19.01381,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1723,1865,13,,756,2310,Szigetszentmiklós,,,,POINT (47.3793 19.0528),M 0 19. km,,,3624539560.0,,True,,,,,,,,,,,,,,,,2018-06-14 18:06:06.062009+00:00,,,47.3793,19.0528,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1724,1866,13,,2547,6728,Szeged,Dorozsmai út,1,,POINT (46.2653 20.1185),Dorozsmai út 1,,,3662488426.0,,True,,,,,,,,,,,,,,,,2018-06-14 18:06:06.062009+00:00,,,46.2653,20.1185,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1725,1867,13,,4210,9400,Sopron,Csengeri út,93,,POINT (47.6765 16.5966),Csengeri út 93,,,3699508937.0,,True,,,,,,,,,,,,,,,,2018-06-14 18:06:06.062009+00:00,,,47.6765,16.5966,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1726,1868,13,,140,1152,Budapest,Széchenyi tér,1,,POINT (47.5605 19.1211),Széchenyi tér 1,,,36.0,,True,,,,,,,,,,,,,,,,2018-06-14 18:06:06.062009+00:00,,,47.5605,19.1211,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1727,1869,13,,3344,8175,Balatonfűzfő,Árpád út,1,,POINT (47.06859 18.03728),Árpád út 1,,,3688586041.0,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,,2018-06-14 18:06:06.062009+00:00,,,47.06859,18.03728,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1728,1870,13,,2290,5630,Békés,Kossuth Lajos út,4,,POINT (46.77333 21.12472),Kossuth L. út 4,,,3666411849.0,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,,2018-06-14 18:06:06.062009+00:00,,,46.77333,21.12472,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1729,1871,13,,86,1086,Budapest,Teleki tér,,,POINT (47.49362 19.08559),Teleki tér,,,36.0,,True,,,,,,,,,,,,,,,,2018-06-14 18:06:06.062009+00:00,,,47.49362,19.08559,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1730,1872,13,,104,1107,Budapest,Üllői utca,110,,POINT (47.4722 19.10921),Üllői u. 110.,,,36.0,,True,,,,,,,,,,,,,,,,2018-06-14 18:06:06.062009+00:00,,,47.4722,19.10921,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1731,1873,13,,801,2400,Dunaújváros,Aranyvölgyi út,,,POINT (46.96694 18.93633),Aranyvölgyi út,,,3625410534.0,,,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,,2018-06-14 18:06:06.062009+00:00,,,46.96694,18.93633,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1732,1874,13,,696,2151,Fót,Szabó Dezső utca,2/b,,POINT (47.61617 19.19758),Szabó Dezső utca 2/B,,,3627358184.0,,True,,,,,,,,,,,,,,,,2018-06-14 18:06:06.062009+00:00,,,47.61617,19.19758,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1733,1875,13,,1840,4200,Hajdúszoboszló,Hóvirág utca,2,,POINT (47.4519 21.41262),Hóvirág u. 2.,,,3652360954.0,,,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,,2018-06-14 18:06:06.062009+00:00,,,47.4519,21.41262,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
1734,1876,13,,2589,6800,Hódmezővásárhely,Kutasi út,17,,POINT (46.4251 20.338),Kutasi út 17.,,,3662246710.0,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,,2018-06-14 18:06:06.062009+00:00,,,46.4251,20.338,13,OMV,fuel,"{'amenity': 'fuel', 'brand': 'OMV', 'operator': 'OMV Hungária Kft.', 'payment:cash': 'yes', 'payment:debit_cards': 'yes', 'fuel:diesel': 'yes', 'fuel:octane_95': 'yes'}",https://www.omv.hu,huomvfu
