,pa_id,poi_common_id,poi_name,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_additional_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_lat,poi_lon,poi_created,poi_updated,poi_deleted,pc_id,poi_common_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,do_not_export_addr_tags,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,additional_ref_name,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
12886,7785,51,,Interspar hipermarket Budapest,38,1032,Budapest,Bécsi út,154,,POINT (47.546497 19.028357),Bécsi út 154.,/uzletek/interspar-hipermarket-budapest-iii-1032-becsi-ut-154-,,,,,,,,,,,,,,,5180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.546497,19.028357,2023-01-16 22:04:33.638206+00:00,,,51,Interspar,shop,"{'shop': 'supermarket', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,husparisup,(spar|interspar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-16 22:09:32.502902,
12887,7791,51,,Interspar hipermarket Budapest,95,1103,Budapest,Sibrik Miklós út,32,,POINT (47.470433 19.156749),Sibrik Miklós út 32.,/uzletek/interspar-hipermarket-budapest-x-1103-sibrik-miklos-ut-30-,,,,,,,,,,,,,,,5220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.470433,19.156749,2023-01-16 22:04:33.638206+00:00,,,51,Interspar,shop,"{'shop': 'supermarket', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,husparisup,(spar|interspar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-16 22:09:32.502902,
12888,7788,51,,Interspar hipermarket Budapest,98,1106,Budapest,Kerepesi út,61,,POINT (47.5029 19.13633),Kerepesi út 61.,/uzletek/interspar-hipermarket-budapest-x-1106-kerepesi-ut-61-,,,,,,,,,,,,,,,5190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.5029,19.13633,2023-01-16 22:04:33.638206+00:00,,,51,Interspar,shop,"{'shop': 'supermarket', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,husparisup,(spar|interspar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-16 22:09:32.502902,
12889,7794,51,,Interspar hipermarket Budapest,107,1117,Budapest,Október huszonharmadika utca,8-10,,POINT (47.47446 19.04985),Október 23. u. 8-10.,/uzletek/interspar-hipermarket-budapest-xi-1117-oktober-23-u,,,,,,,,,,,,,,,5440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.47446,19.04985,2023-01-16 22:04:33.638206+00:00,,,51,Interspar,shop,"{'shop': 'supermarket', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,husparisup,(spar|interspar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-16 22:09:32.502902,
12890,7780,51,,Interspar hipermarket Budapest,159,1191,Budapest,Üllői utca,201,,POINT (47.46405 19.12746),Üllői utca 201.,/uzletek/interspar-hipermarket-budapest-xix-1191-uelli-utca-201-,,,,,,,,,,,,,,,5020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.46405,19.12746,2023-01-16 22:04:33.638206+00:00,,,51,Interspar,shop,"{'shop': 'supermarket', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,husparisup,(spar|interspar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-16 22:09:32.502902,
12891,7782,51,,Interspar hipermarket Budapest,167,1203,Budapest,Széchenyi utca,1,,POINT (47.43935 19.10088),Széchenyi utca 1.,/uzletek/interspar-hipermarket-budapest-xx-1203-szechenyi-utca-1-,,,,,,,,,,,,,,,5070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.43935,19.10088,2023-01-16 22:04:33.638206+00:00,,,51,Interspar,shop,"{'shop': 'supermarket', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,husparisup,(spar|interspar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-16 22:09:32.502902,
12892,7851,51,,Interspar hipermarket Szentendre,587,2000,Szentendre,Dobogókői út,4,,POINT (47.646068 19.063413),Dobogókői u. 4.,/uzletek/interspar-hipermarket-szentendre-2000-dobogoki-u-4-,,,,,,,,,,,,,,,5030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.646068,19.063413,2023-01-16 22:04:33.638206+00:00,,,51,Interspar,shop,"{'shop': 'supermarket', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,husparisup,(spar|interspar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-16 22:09:32.502902,
12893,7873,51,,Interspar hipermarket Érd,610,2030,Érd,Iparos utca,5,,POINT (47.41378 18.88284),Iparos utca 5.,/uzletek/interspar-hipermarket-erd-2030-iparos-utca-5-,,,,,,,,,,,,,,,5360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.41378,18.88284,2023-01-16 22:04:33.638206+00:00,,,51,Interspar,shop,"{'shop': 'supermarket', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,husparisup,(spar|interspar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-16 22:09:32.502902,
12894,7801,51,,Interspar hipermarket Diósd,628,2049,Diósd,Balatoni út,2/A,,POINT (47.404122 18.946629),Balatoni út 2/a,/uzletek/interspar-hipermarket-diosd-2049-balatoni-ut-2-a,,,,,,,,,,,,,,,5340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.404122,18.946629,2023-01-16 22:04:33.638206+00:00,,,51,Interspar,shop,"{'shop': 'supermarket', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,husparisup,(spar|interspar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-16 22:09:32.502902,
12895,7806,51,,Interspar hipermarket Dunaújváros,798,2400,Dunaújváros,Béke körút,1,,POINT (46.9608 18.91948),Béke körút 1.,/uzletek/interspar-hipermarket-dunaujvaros-2400-beke-koerut-2-,,,,,,,,,,,,,,,5170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,46.9608,18.91948,2023-01-16 22:04:33.638206+00:00,,,51,Interspar,shop,"{'shop': 'supermarket', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'brand': 'Spar', 'brand:wikipedia': 'hu:Spar', 'brand:wikidata': 'Q610492', 'contact:email': 'vevoszolgalat@spar.hu', 'phone': '+36208237727', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:erzsebet': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:edenred_voucher': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'payment:multipay': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:otp_bankpont': 'yes', 'payment:american_express': 'yes', 'payment:jcb': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'payment:cash': 'yes'}",https://www.spar.hu,husparisup,(spar|interspar),,False,False,True,False,2000.0,200.0,15.0,,,,,,2023-01-16 22:09:32.502902,
