,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags
6540,3892,45,Extra Váci út,129,1138,Budapest,Gács utca,3,,POINT (47.55583 19.07974),Gács u. 3.,https://tesco.hu/aruhazak/aruhaz/tesco-extra-vaci-ut/,,,,,,,,,,,,,,,41640,+36 20 827 4599,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,False,24/7; PH off,2021-12-20 08:45:38.908448+00:00,,,47.55583,19.07974,45,Tesco Extra,shop,"{'payment:otp_bankpont': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'source:wheelchair': 'website', 'payment:gift_card': 'yes', 'payment:american_express': 'yes', 'air_conditioning': 'yes', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'payment:jcb': 'yes', 'payment:edenred_voucher': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'internet_access:ssid': 'tesco-internet', 'payment:v_pay': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'brand:wikipedia': 'hu:Tesco', 'payment:mastercard_contactless': 'yes', 'payment:wire_transfer': 'yes', 'payment:erzsebet_plus': 'yes', 'brand:wikidata': 'Q487494', 'payment:unionpay': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'internet_access': 'wlan', 'wheelchair': 'yes', 'payment:erzsebet': 'yes', 'loyalty_card': 'yes', 'payment:multipay': 'yes', 'ref:vatin:hu': '10307078-2-44', 'internet_access:fee': 'no', 'payment:visa_electron': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'brand': 'Tesco', 'shop': 'supermarket', 'ref:HU:company': '13-10-040628', 'ref:vatin': 'HU10307078', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.'}",https://tesco.hu,hutescoext,tesco,,False,False,2000.0,1100.0,,,,,,2022-02-11 09:58:26.013591,
6541,7042,45,Extra Váci út,0,1138,,Gács utca,3,,POINT (47.55583 19.07974),Gács u. 3.,https://tesco.hu/aruhazak/aruhaz/tesco-extra-vaci-ut/,,,,,,,,,,,,,,,41640,+36 20 827 4599,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,False,24/7; PH off,2021-12-21 07:27:30.277225+00:00,,,47.55583,19.07974,45,Tesco Extra,shop,"{'payment:otp_bankpont': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'source:wheelchair': 'website', 'payment:gift_card': 'yes', 'payment:american_express': 'yes', 'air_conditioning': 'yes', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'payment:jcb': 'yes', 'payment:edenred_voucher': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'internet_access:ssid': 'tesco-internet', 'payment:v_pay': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'brand:wikipedia': 'hu:Tesco', 'payment:mastercard_contactless': 'yes', 'payment:wire_transfer': 'yes', 'payment:erzsebet_plus': 'yes', 'brand:wikidata': 'Q487494', 'payment:unionpay': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'internet_access': 'wlan', 'wheelchair': 'yes', 'payment:erzsebet': 'yes', 'loyalty_card': 'yes', 'payment:multipay': 'yes', 'ref:vatin:hu': '10307078-2-44', 'internet_access:fee': 'no', 'payment:visa_electron': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'brand': 'Tesco', 'shop': 'supermarket', 'ref:HU:company': '13-10-040628', 'ref:vatin': 'HU10307078', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.'}",https://tesco.hu,hutescoext,tesco,,False,False,2000.0,1100.0,,,,,,2022-02-11 09:58:26.013591,
6542,7025,45,Extra Fogarasi út,0,1149,,Pillangó utca,15,,POINT (47.50504 19.11738),Pillangó u. 15.,https://tesco.hu/aruhazak/aruhaz/tesco-extra-fogarasi-ut/,,,,,,,,,,,,,,,41400,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,False,24/7; PH off,2021-12-21 07:27:30.277225+00:00,,,47.50504,19.11738,45,Tesco Extra,shop,"{'payment:otp_bankpont': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'source:wheelchair': 'website', 'payment:gift_card': 'yes', 'payment:american_express': 'yes', 'air_conditioning': 'yes', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'payment:jcb': 'yes', 'payment:edenred_voucher': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'internet_access:ssid': 'tesco-internet', 'payment:v_pay': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'brand:wikipedia': 'hu:Tesco', 'payment:mastercard_contactless': 'yes', 'payment:wire_transfer': 'yes', 'payment:erzsebet_plus': 'yes', 'brand:wikidata': 'Q487494', 'payment:unionpay': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'internet_access': 'wlan', 'wheelchair': 'yes', 'payment:erzsebet': 'yes', 'loyalty_card': 'yes', 'payment:multipay': 'yes', 'ref:vatin:hu': '10307078-2-44', 'internet_access:fee': 'no', 'payment:visa_electron': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'brand': 'Tesco', 'shop': 'supermarket', 'ref:HU:company': '13-10-040628', 'ref:vatin': 'HU10307078', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.'}",https://tesco.hu,hutescoext,tesco,,False,False,2000.0,1100.0,,,,,,2022-02-11 09:58:26.013591,
6543,3875,45,Extra Fogarasi út,139,1149,Budapest,Pillangó utca,15,,POINT (47.50504 19.11738),Pillangó u. 15.,https://tesco.hu/aruhazak/aruhaz/tesco-extra-fogarasi-ut/,,,,,,,,,,,,,,,41400,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,,,,,,,,,,,,,,False,24/7; PH off,2021-12-20 08:45:38.908448+00:00,,,47.50504,19.11738,45,Tesco Extra,shop,"{'payment:otp_bankpont': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'source:wheelchair': 'website', 'payment:gift_card': 'yes', 'payment:american_express': 'yes', 'air_conditioning': 'yes', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'payment:jcb': 'yes', 'payment:edenred_voucher': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'internet_access:ssid': 'tesco-internet', 'payment:v_pay': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'brand:wikipedia': 'hu:Tesco', 'payment:mastercard_contactless': 'yes', 'payment:wire_transfer': 'yes', 'payment:erzsebet_plus': 'yes', 'brand:wikidata': 'Q487494', 'payment:unionpay': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'internet_access': 'wlan', 'wheelchair': 'yes', 'payment:erzsebet': 'yes', 'loyalty_card': 'yes', 'payment:multipay': 'yes', 'ref:vatin:hu': '10307078-2-44', 'internet_access:fee': 'no', 'payment:visa_electron': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'brand': 'Tesco', 'shop': 'supermarket', 'ref:HU:company': '13-10-040628', 'ref:vatin': 'HU10307078', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.'}",https://tesco.hu,hutescoext,tesco,,False,False,2000.0,1100.0,,,,,,2022-02-11 09:58:26.013591,
6544,3957,45,Extra Miskolc - Szentpéteri kapu,1368,3527,Miskolc,Szentpéteri kapu,103,,POINT (48.12795 20.78274),Szentpéteri kapu 103,https://tesco.hu/aruhazak/aruhaz/tesco-extra-miskolc-szentpeteri-kapu/,,,,,,,,,,,,,,,41450,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,20:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-22:00; Su 07:00-20:00; PH off,2021-12-20 08:45:38.908448+00:00,,,48.12795,20.78274,45,Tesco Extra,shop,"{'payment:otp_bankpont': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'source:wheelchair': 'website', 'payment:gift_card': 'yes', 'payment:american_express': 'yes', 'air_conditioning': 'yes', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'payment:jcb': 'yes', 'payment:edenred_voucher': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'internet_access:ssid': 'tesco-internet', 'payment:v_pay': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'brand:wikipedia': 'hu:Tesco', 'payment:mastercard_contactless': 'yes', 'payment:wire_transfer': 'yes', 'payment:erzsebet_plus': 'yes', 'brand:wikidata': 'Q487494', 'payment:unionpay': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'internet_access': 'wlan', 'wheelchair': 'yes', 'payment:erzsebet': 'yes', 'loyalty_card': 'yes', 'payment:multipay': 'yes', 'ref:vatin:hu': '10307078-2-44', 'internet_access:fee': 'no', 'payment:visa_electron': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'brand': 'Tesco', 'shop': 'supermarket', 'ref:HU:company': '13-10-040628', 'ref:vatin': 'HU10307078', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.'}",https://tesco.hu,hutescoext,tesco,,False,False,2000.0,1100.0,,,,,,2022-02-11 09:58:26.013591,
6545,7107,45,Extra Miskolc - Szentpéteri kapu,0,3527,,Szentpéteri kapu,103,,POINT (48.12795 20.78274),Szentpéteri kapu 103,https://tesco.hu/aruhazak/aruhaz/tesco-extra-miskolc-szentpeteri-kapu/,,,,,,,,,,,,,,,41450,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,20:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-22:00; Su 07:00-20:00; PH off,2021-12-21 07:27:30.277225+00:00,,,48.12795,20.78274,45,Tesco Extra,shop,"{'payment:otp_bankpont': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'source:wheelchair': 'website', 'payment:gift_card': 'yes', 'payment:american_express': 'yes', 'air_conditioning': 'yes', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'payment:jcb': 'yes', 'payment:edenred_voucher': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'internet_access:ssid': 'tesco-internet', 'payment:v_pay': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'brand:wikipedia': 'hu:Tesco', 'payment:mastercard_contactless': 'yes', 'payment:wire_transfer': 'yes', 'payment:erzsebet_plus': 'yes', 'brand:wikidata': 'Q487494', 'payment:unionpay': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'internet_access': 'wlan', 'wheelchair': 'yes', 'payment:erzsebet': 'yes', 'loyalty_card': 'yes', 'payment:multipay': 'yes', 'ref:vatin:hu': '10307078-2-44', 'internet_access:fee': 'no', 'payment:visa_electron': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'brand': 'Tesco', 'shop': 'supermarket', 'ref:HU:company': '13-10-040628', 'ref:vatin': 'HU10307078', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.'}",https://tesco.hu,hutescoext,tesco,,False,False,2000.0,1100.0,,,,,,2022-02-11 09:58:26.013591,
6546,7072,45,Debrecen Repülőtér Extra,0,4030,,Mikepércsi út,73/A,,POINT (47.50388 21.63059),Mikepércsi út 73/a.,https://tesco.hu/aruhazak/aruhaz/tesco-debrecen-repuloter-extra/,,,,,,,,,,,,,,,41990,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,20:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-21:00; Su 07:00-20:00; PH off,2021-12-21 07:27:30.277225+00:00,,,47.50388,21.63059,45,Tesco Extra,shop,"{'payment:otp_bankpont': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'source:wheelchair': 'website', 'payment:gift_card': 'yes', 'payment:american_express': 'yes', 'air_conditioning': 'yes', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'payment:jcb': 'yes', 'payment:edenred_voucher': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'internet_access:ssid': 'tesco-internet', 'payment:v_pay': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'brand:wikipedia': 'hu:Tesco', 'payment:mastercard_contactless': 'yes', 'payment:wire_transfer': 'yes', 'payment:erzsebet_plus': 'yes', 'brand:wikidata': 'Q487494', 'payment:unionpay': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'internet_access': 'wlan', 'wheelchair': 'yes', 'payment:erzsebet': 'yes', 'loyalty_card': 'yes', 'payment:multipay': 'yes', 'ref:vatin:hu': '10307078-2-44', 'internet_access:fee': 'no', 'payment:visa_electron': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'brand': 'Tesco', 'shop': 'supermarket', 'ref:HU:company': '13-10-040628', 'ref:vatin': 'HU10307078', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.'}",https://tesco.hu,hutescoext,tesco,,False,False,2000.0,1100.0,,,,,,2022-02-11 09:58:26.013591,
6547,3922,45,Debrecen Repülőtér Extra,1769,4030,Debrecen,Mikepércsi út,73/A,,POINT (47.50388 21.63059),Mikepércsi út 73/a.,https://tesco.hu/aruhazak/aruhaz/tesco-debrecen-repuloter-extra/,,,,,,,,,,,,,,,41990,,,,,,,,,,,,,,,,,,,,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,07:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,20:00:00,,,,,,,,,,,,,,,,,False,Mo-Sa 06:00-21:00; Su 07:00-20:00; PH off,2021-12-20 08:45:38.908448+00:00,,,47.50388,21.63059,45,Tesco Extra,shop,"{'payment:otp_bankpont': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'source:wheelchair': 'website', 'payment:gift_card': 'yes', 'payment:american_express': 'yes', 'air_conditioning': 'yes', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'payment:jcb': 'yes', 'payment:edenred_voucher': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'internet_access:ssid': 'tesco-internet', 'payment:v_pay': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'brand:wikipedia': 'hu:Tesco', 'payment:mastercard_contactless': 'yes', 'payment:wire_transfer': 'yes', 'payment:erzsebet_plus': 'yes', 'brand:wikidata': 'Q487494', 'payment:unionpay': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'internet_access': 'wlan', 'wheelchair': 'yes', 'payment:erzsebet': 'yes', 'loyalty_card': 'yes', 'payment:multipay': 'yes', 'ref:vatin:hu': '10307078-2-44', 'internet_access:fee': 'no', 'payment:visa_electron': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'brand': 'Tesco', 'shop': 'supermarket', 'ref:HU:company': '13-10-040628', 'ref:vatin': 'HU10307078', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.'}",https://tesco.hu,hutescoext,tesco,,False,False,2000.0,1100.0,,,,,,2022-02-11 09:58:26.013591,
6548,3925,45,Extra Debrecen - Kishegyesi út,1770,4031,Debrecen,Kishegyesi út,1-11,,POINT (47.53037 21.61049),Kishegyesi út 1-11.,https://tesco.hu/aruhazak/aruhaz/tesco-extra-debrecen-kishegyesi-ut/,,,,,,,,,,,,,,,41460,,,,,,,,,,,,,,,,,,,,,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,,,,,,,,,,,,,,,,,False,Mo-Su 05:00-23:00; PH off,2021-12-20 08:45:38.908448+00:00,,,47.53037,21.61049,45,Tesco Extra,shop,"{'payment:otp_bankpont': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'source:wheelchair': 'website', 'payment:gift_card': 'yes', 'payment:american_express': 'yes', 'air_conditioning': 'yes', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'payment:jcb': 'yes', 'payment:edenred_voucher': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'internet_access:ssid': 'tesco-internet', 'payment:v_pay': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'brand:wikipedia': 'hu:Tesco', 'payment:mastercard_contactless': 'yes', 'payment:wire_transfer': 'yes', 'payment:erzsebet_plus': 'yes', 'brand:wikidata': 'Q487494', 'payment:unionpay': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'internet_access': 'wlan', 'wheelchair': 'yes', 'payment:erzsebet': 'yes', 'loyalty_card': 'yes', 'payment:multipay': 'yes', 'ref:vatin:hu': '10307078-2-44', 'internet_access:fee': 'no', 'payment:visa_electron': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'brand': 'Tesco', 'shop': 'supermarket', 'ref:HU:company': '13-10-040628', 'ref:vatin': 'HU10307078', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.'}",https://tesco.hu,hutescoext,tesco,,False,False,2000.0,1100.0,,,,,,2022-02-11 09:58:26.013591,
6549,7075,45,Extra Debrecen - Kishegyesi út,0,4031,,Kishegyesi út,1-11,,POINT (47.53037 21.61049),Kishegyesi út 1-11.,https://tesco.hu/aruhazak/aruhaz/tesco-extra-debrecen-kishegyesi-ut/,,,,,,,,,,,,,,,41460,,,,,,,,,,,,,,,,,,,,,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,05:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,,,,,,,,,,,,,,,,,False,Mo-Su 05:00-23:00; PH off,2021-12-21 07:27:30.277225+00:00,,,47.53037,21.61049,45,Tesco Extra,shop,"{'payment:otp_bankpont': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:edenred_card': 'yes', 'payment:otp_cafeteria': 'yes', 'source:wheelchair': 'website', 'payment:gift_card': 'yes', 'payment:american_express': 'yes', 'air_conditioning': 'yes', 'contact:facebook': 'https://www.facebook.com/tescoaruhazak', 'payment:jcb': 'yes', 'payment:edenred_voucher': 'yes', 'contact:pinterest': 'https://www.pinterest.com/tescohungary/', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'internet_access:ssid': 'tesco-internet', 'payment:v_pay': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'brand:wikipedia': 'hu:Tesco', 'payment:mastercard_contactless': 'yes', 'payment:wire_transfer': 'yes', 'payment:erzsebet_plus': 'yes', 'brand:wikidata': 'Q487494', 'payment:unionpay': 'yes', 'operator': 'TESCO-GLOBAL Áruházak Zrt.', 'internet_access': 'wlan', 'wheelchair': 'yes', 'payment:erzsebet': 'yes', 'loyalty_card': 'yes', 'payment:multipay': 'yes', 'ref:vatin:hu': '10307078-2-44', 'internet_access:fee': 'no', 'payment:visa_electron': 'yes', 'contact:youtube': 'https://www.youtube.com/user/TescoMagyarorszag', 'brand': 'Tesco', 'shop': 'supermarket', 'ref:HU:company': '13-10-040628', 'ref:vatin': 'HU10307078', 'operator:addr': '2040 Budaörs, Kinizsi út 1-3.'}",https://tesco.hu,hutescoext,tesco,,False,False,2000.0,1100.0,,,,,,2022-02-11 09:58:26.013591,
