,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_description,poi_fuel_adblue,poi_fuel_octane_100,poi_fuel_octane_98,poi_fuel_octane_95,poi_fuel_diesel_gtl,poi_fuel_diesel,poi_fuel_lpg,poi_fuel_e85,poi_rent_lpg_bottles,poi_compressed_air,poi_restaurant,poi_food,poi_truck,poi_ref,poi_phone,poi_email,poi_authentication_app,poi_authentication_none,poi_authentication_membership_card,poi_capacity,poi_fee,poi_parking_fee,poi_motorcar,poi_socket_chademo,poi_socket_chademo_output,poi_socket_type2_combo,poi_socket_type2_combo_output,poi_socket_type2_cable,poi_socket_type2_cable_output,poi_socket_type2,poi_socket_type2_output,poi_manufacturer,poi_model,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_public_holiday_open,poi_opening_hours,poi_lat,poi_lon,poi_created,poi_updated,poi_deleted,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe,osm_id,osm_node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes,poi_distance,poi_new
1394,2331,12,,26,1015,Budapest,Széna tér,1/A,,POINT (47.50757 19.02719),Széna tér 1/a,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-i-kerulet/szena-ter-patika/,,,,,,,,,,,,,,,,+36 1 225 7830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.5075109,19.0269638,2022-11-21 08:07:07.825527+00:00,,,12,Benu gyógyszertár,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Benu gyógyszertár', 'dispensing': 'yes', 'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,True,2000.0,200.0,20.0,1697839063,OSM_object_type.node,9,0,2021-08-29 16:15:15.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '1/A', 'addr:postcode': '1015', 'addr:street': 'Széna tér', 'amenity': 'pharmacy', 'brand': 'Benu', 'brand:wikidata': 'Q62562792', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Benu', 'opening_hours': 'Mo-Sa 08:00-20:00; Su 08:00-18:00', 'operator': 'Benu Gyógyszertár', 'wheelchair': 'no'}",,0,False
1395,2320,12,,33,1026,Budapest,Gábor Áron utca,74-78,,POINT (47.52252 19.01479),Gábor Áron út 74-78.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-ii-kerulet/rozsakert-patika/,,,,,,,,,,,,,,,,+36 1 391 5830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.5225292,19.014529,2022-11-21 08:07:07.825527+00:00,,,12,Benu gyógyszertár,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Benu gyógyszertár', 'dispensing': 'yes', 'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,True,2000.0,200.0,20.0,871133973,OSM_object_type.node,8,0,2021-01-16 23:52:46.000000,"{'amenity': 'pharmacy', 'brand': 'Benu', 'brand:wikidata': 'Q62562792', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'level': '0', 'name': 'Benu', 'opening_hours': 'Mo-Sa 09:30-20:00; Sa 08:30-19:00; Su 10:00-15:00', 'phone': '+36 1 391 5830', 'website': 'http://rozsakert.hu/rozsakerti-patika/'}",,19.62518953,False
1396,2263,12,,38,1032,Budapest,Ágoston utca,2,,POINT (47.54533 19.03207),Ágoston utca 2.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/igazsag-gyogyszertar/,,,,,,,,,,,,,,,,+36 1 250 5132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.5454143,19.0322852,2022-11-21 08:07:07.825527+00:00,,,12,Benu gyógyszertár,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Benu gyógyszertár', 'dispensing': 'yes', 'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,True,2000.0,200.0,20.0,4860043472,OSM_object_type.node,2,0,2022-04-09 18:36:00.000000,"{'addr:city': 'Budapest', 'addr:housenumber': '2', 'addr:postcode': '1032', 'addr:street': 'Ágoston utca', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Igazság Patika', 'opening_hours': 'Mo-Fr 08:00-19:00'}",,18.67525987,False
1397,2122,12,BENU Gyógyszertár Budapest Zsálya,39,1033,Budapest,Pethe Ferenc tér,3,,POINT (47.55741 19.04416),Pethe Ferenc tér 3.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/benu-gyogyszertar-budapest-zsalya/,,,,,,,,,,,,,,,,+36 1 367 1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.5575096,19.0441955,2022-11-21 08:07:07.825527+00:00,,,12,Benu gyógyszertár,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Benu gyógyszertár', 'dispensing': 'yes', 'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,True,2000.0,200.0,20.0,2582364011,OSM_object_type.node,3,0,2022-04-09 18:31:27.000000,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Zsálya gyógyszertár', 'wheelchair': 'limited'}",,11.39090725,False
1398,2062,12,,39,1033,Budapest,Szentendrei út,19,,POINT (47.54802 19.04401),Szentendrei út 19.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/achillea-gyogyszertar/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.54802,19.04401,2022-11-21 08:07:07.825527+00:00,,,12,Benu gyógyszertár,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Benu gyógyszertár', 'dispensing': 'yes', 'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,True,2000.0,200.0,20.0,,,,,2022-11-22 20:59:11.010484,,,,True
1399,2090,12,BENU Gyógyszertár Budapest Auróra,44,1039,Budapest,Csobánka tér,1,,POINT (47.59824 19.05154),Csobánka tér 1.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/benu-gyogyszertar-budapest-aurora/,,,,,,,,,,,,,,,,+36 1 243 1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.598256,19.0512214,2022-11-21 08:07:07.825527+00:00,,,12,Benu gyógyszertár,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Benu gyógyszertár', 'dispensing': 'yes', 'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,True,2000.0,200.0,20.0,1243010276,OSM_object_type.node,5,0,2021-03-09 21:41:08.000000,"{'addr:city': 'Budapest', 'addr:country': 'HU', 'addr:housenumber': '1', 'addr:postcode': '1039', 'addr:street': 'Csobánka tér', 'amenity': 'pharmacy', 'brand': 'BENU', 'contact:email': 'aurora@benugyogyszertar.hu', 'contact:phone': '+36 1 243 1362', 'contact:website': 'http://benu.hu/benu/aurora-gyogyszertar', 'healthcare': 'pharmacy', 'name': 'BENU Auróra Gyógyszertár', 'opening_hours': 'Mo-Fr 07:30-19:00; Sa 07:30-12:00'}",,0,False
1400,2091,12,BENU Gyógyszertár Budapest Békás,45,1039,Budapest,Juhász Gyula utca,3,,POINT (47.59593 19.06183),Boglár utca 3.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/benu-gyogyszertar-budapest-bekas/,,,,,,,,,,,,,,,,+36 1 244 2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.5965493,19.0622775,2022-11-21 08:07:07.825527+00:00,,,12,Benu gyógyszertár,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Benu gyógyszertár', 'dispensing': 'yes', 'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,True,2000.0,200.0,20.0,3417446906,OSM_object_type.node,8,0,2020-08-23 15:28:08.000000,"{'addr:city': 'Budapest', 'addr:country': 'HU', 'addr:housenumber': '3', 'addr:postcode': '1039', 'addr:street': 'Juhász Gyula utca', 'amenity': 'pharmacy', 'brand': 'BENU', 'contact:phone': '+36 1 244 2946', 'contact:website': 'http://benu.hu/benu/bekas-patika', 'name': 'BENU Békás Patika', 'opening_hours': 'Mo-Fr 08:00-19:00; Sa 08:00-13:00', 'wheelchair': 'yes'}",,76.60355132,False
1401,2300,12,,45,1039,Budapest,Heltai Jenő tér,1-3,,POINT (47.59827 19.05726),Heltai Jenő tér 1-3.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/megyeri-gyogyszertar/,,,,,,,,,,,,,,,,+36 1 454 0661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.5980935,19.0579406,2022-11-21 08:07:07.825527+00:00,,,12,Benu gyógyszertár,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Benu gyógyszertár', 'dispensing': 'yes', 'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,True,2000.0,200.0,20.0,2879846147,OSM_object_type.node,11,0,2021-09-18 20:59:17.000000,"{'addr:city': 'Budapest', 'addr:country': 'HU', 'addr:housenumber': '1-3', 'addr:postcode': '1039', 'addr:street': 'Heltai Jenő tér', 'amenity': 'pharmacy', 'branch': 'Megyeri Gyógyszertár', 'brand': 'Benu', 'brand:wikidata': 'Q62562792', 'contact:phone': '+36 1 454 0661', 'contact:website': 'https://benu.hu/shop/gyogyszertarak/megyeri-gyogyszertar-budapest-iii/', 'healthcare': 'pharmacy', 'name': 'Benu', 'opening_hours': 'Mo-Fr 07:30-18:30; Sa 07:30-12:30', 'wheelchair': 'yes'}",,0,False
1402,2302,12,,45,1039,Budapest,Rákóczi utca,36,,POINT (47.58104 19.04967),Rákóczi út 36.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iii-kerulet/nadaly-gyogyszertar/,,,,,,,,,,,,,,,,+36 1 250 8610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.58104,19.04967,2022-11-21 08:07:07.825527+00:00,,,12,Benu gyógyszertár,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Benu gyógyszertár', 'dispensing': 'yes', 'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,True,2000.0,200.0,20.0,,,,,2022-11-22 20:59:11.010484,,,,True
1403,2109,12,BENU Gyógyszertár Budapest Rózsa,46,1041,Budapest,Görgey Artúr út,28-30,,POINT (47.56496 19.0924),Görgey Artúr utca 28-30. fszt. 1.,https://benu.hu/gyogyszertaraink/gyogyszertarak-budapest/gyogyszertarak-budapest-iv-kerulet/benu-gyogyszertar-budapest-rozsa/,,,,,,,,,,,,,,,,+36 1 272 0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,47.56496,19.0924,2022-11-21 08:07:07.825527+00:00,,,12,Benu gyógyszertár,pharmacy,"{'amenity': 'pharmacy', 'brand': 'Benu gyógyszertár', 'dispensing': 'yes', 'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'air_conditioning': 'yes', 'payment:contactless': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:maestro': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,True,2000.0,200.0,20.0,,,,,2022-11-22 20:59:11.010484,,,,True
