,pa_id,poi_common_id,poi_branch,poi_addr_city,poi_postcode,poi_city,poi_addr_street,poi_addr_housenumber,poi_conscriptionnumber,poi_geom,original,poi_website,poi_ref,poi_phone,poi_email,poi_opening_hours_nonstop,poi_opening_hours_mo_open,poi_opening_hours_tu_open,poi_opening_hours_we_open,poi_opening_hours_th_open,poi_opening_hours_fr_open,poi_opening_hours_sa_open,poi_opening_hours_su_open,poi_opening_hours_mo_close,poi_opening_hours_tu_close,poi_opening_hours_we_close,poi_opening_hours_th_close,poi_opening_hours_fr_close,poi_opening_hours_sa_close,poi_opening_hours_su_close,poi_opening_hours_summer_mo_open,poi_opening_hours_summer_tu_open,poi_opening_hours_summer_we_open,poi_opening_hours_summer_th_open,poi_opening_hours_summer_fr_open,poi_opening_hours_summer_sa_open,poi_opening_hours_summer_su_open,poi_opening_hours_summer_mo_close,poi_opening_hours_summer_tu_close,poi_opening_hours_summer_we_close,poi_opening_hours_summer_th_close,poi_opening_hours_summer_fr_close,poi_opening_hours_summer_sa_close,poi_opening_hours_summer_su_close,poi_opening_hours_lunch_break_start,poi_opening_hours_lunch_break_stop,poi_opening_hours,poi_hash,poi_created,poi_updated,poi_deleted,poi_lat,poi_lon,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,osm_id,node,osm_version,osm_changeset,osm_timestamp,osm_live_tags,osm_nodes
5011,2043,17,51 sz. automata - Magyar Takarékszövetkezeti Bank Zrt.,3297,8087,Alcsútdoboz,Béke utca,1,,POINT (47.4264269 18.6027487),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.4264269,18.6027487,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5012,2212,17,1 sz. automata - Stop-Shop áruház,33,1021,Budapest,Hűvösvölgyi út,138,,POINT (47.540107 18.965818),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.540107,18.965818,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5013,2213,17,2 sz. automata - Bécsi út Tesco,48,1037,Budapest,Bécsi út,262,,POINT (47.562566 19.021198),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.562566,19.021198,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5014,2214,17,3 sz. automata - Váci út Tesco,128,1138,Budapest,Gács utca,3,,POINT (47.55563 19.079757),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.55563,19.079757,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5015,2215,17,4 sz. automata - Sugár B (IKEA felől),133,1144,Budapest,Örs Vezér tere,24 (b),,POINT (47.504606 19.137486),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.504606,19.137486,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,4483741296,True,1,0,2016-11-05T11:4049Z,"{'addr:city': 'Budapest', 'operator': 'Magyar Posta Zrt.', 'vending': 'parcel_pickup;parcel_mail_in', 'amenity': 'vending_machine', 'payment:credit_cards': 'yes', 'name': 'Magyar Posta csomagautomata', 'addr:housenumber': '24', 'addr:postcode': '1148', 'addr:street': 'Örs vezér tere'}",
5016,2216,17,5 sz. automata - Europark parkoló,164,1191,Budapest,Üllői út,201,,POINT (47.463211 19.129217),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.463211,19.129217,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5017,2217,17,6 sz. automata - Csepel Pláza,176,1212,Budapest,Rákóczi Ferenc utca,154-170,,POINT (47.424434 19.06742),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.424434,19.06742,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5018,2218,17,7 sz. automata - Andor utca Spar,114,1119,Budapest,Fehérvári út (Andor u. 1.) út,161,,POINT (47.456304 19.03966),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.456304,19.03966,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5019,2219,17,8 sz. automata - Campona,182,1223,Budapest,Nagytétényi út,37-43,,POINT (47.407116 19.016613),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.407116,19.016613,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5020,2220,17,9 sz. automata - Sugár A (IKEA felől),133,1144,Budapest,Örs Vezér tere,24 (a),,POINT (47.5046855 19.1384089),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.5046855,19.1384089,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,4483741296,True,1,0,2016-11-05T11:4049Z,"{'addr:city': 'Budapest', 'operator': 'Magyar Posta Zrt.', 'vending': 'parcel_pickup;parcel_mail_in', 'amenity': 'vending_machine', 'payment:credit_cards': 'yes', 'name': 'Magyar Posta csomagautomata', 'addr:housenumber': '24', 'addr:postcode': '1148', 'addr:street': 'Örs vezér tere'}",
5021,2221,17,10 sz. automata - KÖKI,164,1191,Budapest,Vak Bottyán utca,75. a-c,,POINT (47.462297 19.147798),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.462297,19.147798,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,5383448116,True,2,0,2018-03-01T20:0135Z,"{'indoor': 'no', 'vending': 'parcel_pickup', 'amenity': 'vending_machine', 'operator': 'MPL'}",
5022,2222,17,11 sz. automata - MÁV állomás,666,2100,Gödöllő,MÁV pályaudvar,1,,POINT (47.591898 19.358322),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.591898,19.358322,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5023,2223,17,12 sz. automata - Stop-Shop áruház,613,2030,Érd,Budai út,13,,POINT (47.378176 18.92131),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.378176,18.92131,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5024,2224,17,13 sz. automata - Mikepércsi út Tesco,1760,4030,Debrecen,Mikepércsi út,73/a,,POINT (47.503818 21.630521),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.503818,21.630521,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5025,2225,17,14 sz. automata - Malompark,1757,4027,Debrecen,Füredi út,27,,POINT (47.54211 21.619696),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.54211,21.619696,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5026,2226,17,15 sz. automata - Miskolc 9 - Újdiósgyőr posta,1369,3532,Miskolc,Andrássy út,43,,POINT (48.101368 20.731535),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,48.101368,20.731535,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5027,2227,17,16 sz. automata - Avas Tesco,1347,3508,Miskolc,Mésztelep utca,1/a,,POINT (48.071854 20.784405),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,48.071854,20.784405,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
5028,2228,17,17 sz. automata - MÁV állomás,1918,4400,Nyíregyháza,Állomás tér,2,,POINT (47.946402 21.706196),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30 09:49:21.415468+00:00,,,47.946402,21.706196,17,Posta csomagautomata,vending_machine,"{'amenity': 'vending_machine', 'vending': 'parcel_pickup', 'brand': 'Magyar Posta', 'operator': 'Magyar Posta Zrt.'}",https://www.posta.hu,hupostacso,,,,,,,
