,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe
0,1,K&H Bank,bank,"{'operator': 'K&H Bank Zrt.', 'operator:addr': '1095 Budapest, Lechner Ödön fasor 9.', 'brand': 'K&H', 'bic': 'OKHBHUHB', 'ref:vatin:hu': '10195664-4-44', 'ref:vatin': 'HU10195664', 'atm': 'yes', 'ref:HU:company': '01 10 041043', 'amenity': 'bank', 'air_conditioning': 'yes'}",https://www.kh.hu,hukhbank,(kh bank|k&h bank|k&h|kh),,False,False,True,2000.0,200.0,4.0
1,2,K&H Bank ATM,atm,"{'operator': 'K&H Bank Zrt.', 'operator:addr': '1095 Budapest, Lechner Ödön fasor 9.', 'brand': 'K&H', 'bic': 'OKHBHUHB', 'ref:vatin:hu': '10195664-4-44', 'ref:vatin': 'HU10195664', 'ref:HU:company': '01 10 041043', 'amenity': 'atm'}",https://www.kh.hu,hukhatm,(kh bank atm|k&h bank atm|k&h atm|kh atm),,False,False,True,2000.0,80.0,3.0
2,3,CIB Bank,bank,"{'operator': 'CIB Bank Zrt.', 'bic': 'CIBHHUHB', 'ref:vatin': 'HU10136915', 'atm': 'yes', 'brand:wikidata': 'Q839566', 'operator:addr': '1027 Budapest, Medve u 4-14.', 'brand': 'CIB Bank', 'air_conditioning': 'yes', 'ref:vatin:hu': '10136915-4-44', 'brand:wikipedia': 'hu:CIB Bank', 'ref:HU:company': '01 10 041004', 'amenity': 'bank'}",https://www.cib.hu,hucibbank,(cib bank|cib),(raiffeisen|otp|k&h|budapest),False,False,True,300.0,100.0,40.0
3,4,CIB Bank ATM,atm,"{'brand:wikidata': 'Q839566', 'operator': 'CIB Bank Zrt.', 'amenity': 'atm', 'brand': 'CIB Bank', 'bic': 'CIBHHUHB', 'ref:vatin:hu': '10136915-4-44', 'operator:addr': '1027 Budapest, Medve u 4-14.', 'brand:wikipedia': 'hu:CIB Bank', 'ref:HU:company': '01 10 041004', 'ref:vatin': 'HU10136915'}",https://www.cib.hu,hucibatm,(cib bank atm|cib atm),(raiffeisen|otp|k&h|budapest),False,False,True,50.0,30.0,10.0
4,5,Jysk,furniture,"{'payment:maestro': 'yes', 'brand:wikidata': 'Q138913', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'shop': 'furniture', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'payment:cash': 'yes', 'operator': 'JYSK Kft.', 'operator:addr': '1103 Budapest, Sibrik Miklós út 30.', 'payment:contactless': 'yes', 'brand:wikipedia': 'hu:JYSK', 'ref:vatin:hu': '13353298-2-44', 'ref:HU:company': '01 09 730940', 'contact:facebook': 'https://www.facebook.com/JYSK.Magyarorszag/', 'payment:mastercard_electronic': 'yes', 'ref:vatin': 'HU13353298'}",https://jysk.hu,hujyskfur,jysk,,False,False,True,800.0,300.0,80.0
5,6,dm,chemist,"{'brand:wikidata': 'Q266572', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'contact:youtube': 'https://www.youtube.com/user/dmMagyarorszag', 'ref:vatin': 'HU11181530', 'payment:mastercard': 'yes', 'payment:cash': 'yes', 'payment:maestro': 'yes', 'contact:instagram': 'https://www.instagram.com/dm_magyarorszag', 'operator': 'dm Kft.', 'shop': 'chemist', 'payment:contactless': 'yes', 'brand': 'dm', 'air_conditioning': 'yes', 'ref:vatin:hu': '11181530-2-44', 'brand:wikipedia': 'en:Dm-drogerie markt', 'ref:HU:company': '13 09 078006', 'contact:facebook': 'https://www.facebook.com/dm.Magyarorszag', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes'}",https://www.dm.hu,hudmche,dm,,False,False,True,2000.0,200.0,15.0
6,7,Benu gyógyszertár,pharmacy,"{'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCBLjL10QMtRHdkak0h9exqg', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'dispensing': 'yes', 'payment:visa': 'yes', 'payment:contactless': 'yes', 'brand': 'Benu gyógyszertár', 'air_conditioning': 'yes', 'amenity': 'pharmacy', 'contact:facebook': 'https://www.facebook.com/BENUgyogyszertar', 'payment:mastercard_electronic': 'yes'}",https://benu.hu,hubenupha,(benu gyogyszertár|benu),,True,False,True,2000.0,200.0,20.0
7,8,Kulcs Patika,pharmacy,"{'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'dispensing': 'yes', 'payment:visa': 'yes', 'payment:contactless': 'yes', 'brand': 'Kulcs Patikák', 'air_conditioning': 'yes', 'amenity': 'pharmacy', 'payment:mastercard_electronic': 'yes'}",https://www.kulcspatikak.hu/,hukulcspha,(kulcs patikák|kulcs patika|kulcs),,True,False,True,,,
8,9,Posta,post_office,"{'brand:wikidata': 'Q145614', 'amenity': 'post_office', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes', 'payment:cash': 'yes', 'contact:email': 'ugyfelszolgalat@posta.hu', 'operator': 'Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'brand': 'Magyar Posta', 'ref:vatin:hu': '10901232-2-44', 'phone': '+3617678200', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt'}",https://www.posta.hu,hupostapo,posta,,False,True,True,2000.0,350.0,220.0
9,10,Posta csekkbefizető automata,vending_machine_cheques,"{'phone': '+3617678200', 'amenity': 'vending_machine', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes', 'payment:cash': 'yes', 'contact:email': 'ugyfelszolgalat@posta.hu', 'vending': 'cheques', 'brand:wikidata': 'Q145614', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'operator': 'Magyar Posta Zrt.', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'ref:vatin:hu': '10901232-2-44', 'brand': 'Magyar Posta', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt'}",https://www.posta.hu,hupostacse,posta,,False,False,True,2000.0,300.0,220.0
10,11,Aldi,shop,"{'ref:company:HU': '13 06 058506', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'contact:youtube': 'https://www.youtube.com/user/ALDIMagyarorszag', 'ref:vatin': 'HU22234663', 'payment:mastercard': 'yes', 'payment:cash': 'yes', 'payment:maestro': 'yes', 'operator:addr': '2051 Biatorbágy, Mészárosok útja 2.', 'ref:vatin:hu': '22234663-2-44', 'brand:wikidata': 'Q125054', 'shop': 'supermarket', 'payment:contactless': 'yes', 'brand:wikipedia': 'hu:Aldi', 'air_conditioning': 'yes', 'operator': 'ALDI Magyarország Élelmiszer Bt.', 'brand': 'Aldi', 'contact:facebook': 'https://www.facebook.com/ALDI.Magyarorszag', 'payment:mastercard_electronic': 'yes', 'contact:instagram': 'https://www.instagram.com/aldi.magyarorszag', 'payment:visa': 'yes'}",https://www.aldi.hu,hualdisup,aldi,,False,False,True,1000.0,200.0,
11,12,Posta csomagautomata,vending_machine_parcel_locker,"{'phone': '+3617678200', 'amenity': 'parcel_locker', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes', 'payment:cash': 'yes', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikidata': 'Q145614', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'operator': 'Magyar Posta Zrt.', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'parcel_mail_in': 'yes', 'ref:vatin:hu': '10901232-2-44', 'brand': 'Magyar Posta', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt'}",https://www.posta.hu,hupostacso,(mpl|posta),,False,False,True,2000.0,200.0,
12,13,Avia,fuel,"{'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'contact:email': 'avia@avia.hu', 'operator': 'AVIA Hungária Kft.', 'payment:visa': 'yes', 'payment:contactless': 'yes', 'brand': 'Avia', 'contact:facebook': 'https://www.facebook.com/AVIAHungary', 'amenity': 'fuel', 'fuel:diesel': 'yes', 'payment:mastercard_electronic': 'yes', 'fuel:octane_95': 'yes'}",https://www.avia.hu,huaviafu,avia,(mol|shell|m. petrol|lukoil|hunoil),False,False,True,30000.0,800.0,110.0
13,14,PostaPont,post_office,"{'brand:wikidata': 'Q145614', 'amenity': 'post_office', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes', 'payment:cash': 'yes', 'contact:email': 'ugyfelszolgalat@posta.hu', 'operator': 'Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'brand': 'Magyar Posta', 'ref:vatin:hu': '10901232-2-44', 'phone': '+3617678200', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt'}",https://www.posta.hu,hupostapp,(postapont|posta),,False,True,True,2000.0,300.0,220.0
14,16,Mobilposta,post_office,"{'brand:wikidata': 'Q145614', 'amenity': 'post_office', 'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'ref:vatin': 'HU10901232', 'payment:debit_cards': 'yes', 'payment:cash': 'yes', 'contact:email': 'ugyfelszolgalat@posta.hu', 'operator': 'Magyar Posta Zrt.', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'brand': 'Magyar Posta', 'ref:vatin:hu': '10901232-2-44', 'phone': '+3617678200', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt'}",https://www.posta.hu,hupostamp,posta,,False,False,True,2000.0,300.0,
15,15,CBA,shop,"{'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_contactless': 'yes', 'shop': 'convenience', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,True,2000.0,200.0,5.0
